timestamp,scenario,channel,attempt,mode,G_prev_uS,G_uS,G_target_uS,err_uS,rel_err,alpha,beta,scaling_factor,K,pw_scale,np_scale,stuck_counter,flip_damped,PW_s,NP,Amplitude_V
2025-12-16 10:39:09,set,1,6,inc,34.69257692108499,,109.99999999999999,75.307423078915,0.6846129370810454,2.0,0.5499999999999999,1.47,,,,,,0.0001,294,1.0
2025-12-16 10:39:12,set,1,6,read,34.69257692108499,23.96075222010874,109.99999999999999,86.03924777989124,0.7821749798171932,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:12,set,1,7,inc,23.96075222010874,,109.99999999999999,86.03924777989124,0.7821749798171932,2.0,0.5499999999999999,1.68,,,,,,0.0001,336,1.0
2025-12-16 10:39:14,set,1,7,read,23.96075222010874,29.06469503067417,109.99999999999999,80.93530496932581,0.7357754997211439,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:14,set,1,8,inc,29.06469503067417,,109.99999999999999,80.93530496932581,0.7357754997211439,2.0,0.5499999999999999,2.43,,,,,,0.0001,486,1.0
2025-12-16 10:39:16,set,1,8,read,29.06469503067417,78.34613306291644,109.99999999999999,31.653866937083553,0.2877624267007596,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:16,set,1,9,inc,78.34613306291644,,109.99999999999999,31.653866937083553,0.2877624267007596,2.0,0.5499999999999999,0.62,,,,,,0.0001,124,1.0
2025-12-16 10:39:19,set,1,9,read,78.34613306291644,40.37795698525119,109.99999999999999,69.62204301474881,0.6329276637704437,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:19,set,1,10,inc,40.37795698525119,,109.99999999999999,69.62204301474881,0.6329276637704437,2.0,0.5499999999999999,1.36,,,,,,0.0001,272,1.0
2025-12-16 10:39:21,set,1,10,read,40.37795698525119,36.320084356920894,109.99999999999999,73.6799156430791,0.6698174149370828,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:21,set,1,11,inc,36.320084356920894,,109.99999999999999,73.6799156430791,0.6698174149370828,2.0,0.5499999999999999,2.34,,,,,,0.0001,468,1.0
2025-12-16 10:39:24,set,1,11,read,36.320084356920894,41.446860039874494,109.99999999999999,68.5531399601255,0.6232103632738683,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:24,set,1,12,inc,41.446860039874494,,109.99999999999999,68.5531399601255,0.6232103632738683,2.0,0.5499999999999999,2.21,,,,,,0.0001,442,1.0
2025-12-16 10:39:26,set,1,12,read,41.446860039874494,42.95070222450545,109.99999999999999,67.04929777549454,0.6095390706863141,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:26,set,1,13,inc,42.95070222450545,,109.99999999999999,67.04929777549454,0.6095390706863141,2.0,0.5499999999999999,2.21,,,,,,0.0001,442,1.0
2025-12-16 10:39:28,set,1,13,read,42.95070222450545,41.73016700052304,109.99999999999999,68.26983299947695,0.6206348454497905,,,,,,,,,0.0,0,0.0
2025-12-16 10:39:28,set,1,14,inc,41.73016700052304,,109.99999999999999,68.26983299947695,0.6206348454497905,2.0,0.5499999999999999,2.28,,,,,,0.0001,456,1.0
2025-12-16 10:39:31,set,1,14,read,41.73016700052304,42.370276783468,109.99999999999999,67.62972321653199,0.6148156656048364,,,,,,,,,0.0,0,0.0
